,Mouse ID,Timepoint,Tumor Volume (mm3),Metastatic Sites,Drug Regimen,Sex,Age_months,Weight (g)
55,f278,5,48.19457788,0,Ketapril,Male,12,30
56,f345,45,60.91876652,1,Infubinol,Male,23,26
57,f394,5,47.03309963,0,Zoniferol,Male,19,30
58,f436,15,48.72207785,2,Ceftamin,Female,3,25
59,f545,45,73.32443228,1,Zoniferol,Female,20,26
60,f932,0,45.0,0,Ketapril,Male,15,29
61,f966,20,30.48598484,0,Capomulin,Male,16,17
62,f993,20,52.07951009,1,Naftisol,Male,21,28
63,g107,35,71.90511721,0,Ketapril,Female,2,29
64,g288,45,37.07402422,1,Capomulin,Male,3,19
65,g296,45,68.16319517,4,Zoniferol,Female,14,29
66,g316,45,40.1592203,2,Capomulin,Female,22,22
67,g497,45,69.87225079,2,Ketapril,Male,19,28
68,g558,40,61.77496268,4,Propriva,Male,8,29
69,g570,45,70.49278763,2,Propriva,Male,16,29
70,g791,45,29.12847181,1,Ramicane,Male,11,16
71,g867,15,51.06041924,1,Stelasyn,Female,9,25
72,g989,35,62.57087961,2,Propriva,Female,21,26
73,h246,45,74.10408567,2,Ketapril,Male,13,30
74,h333,30,55.45528975,2,Stelasyn,Male,21,27
75,h428,0,45.0,0,Ketapril,Female,1,27
76,h531,5,47.7846818,0,Ceftamin,Male,5,27
77,i177,45,33.56240217,3,Ramicane,Male,10,18
78,i334,45,36.37451039,2,Ramicane,Female,8,20
79,i386,40,67.28962147,4,Infubinol,Female,23,29
80,i477,10,47.52063206,0,Placebo,Female,3,30
81,i557,45,47.68596303,1,Capomulin,Female,1,24
82,i635,45,58.63340414,3,Propriva,Male,21,26
83,i669,25,53.30318455,2,Placebo,Female,18,27
84,i738,45,37.31184577,2,Capomulin,Female,23,20
85,i901,45,65.34181087,0,Stelasyn,Male,23,29
86,j119,45,38.1251644,1,Capomulin,Female,7,23
87,j235,20,52.94290169,1,Placebo,Male,6,30
88,j246,35,38.75326548,1,Capomulin,Female,21,21
89,j296,45,61.84902336,3,Ceftamin,Female,24,30
90,j365,45,64.29408493,2,Zoniferol,Male,24,28
91,j755,45,69.56362076,1,Naftisol,Male,23,27
92,j913,45,31.56046955,1,Ramicane,Female,4,17
93,j984,45,70.65383162,1,Stelasyn,Female,2,30
94,j989,45,36.13485243,1,Ramicane,Male,8,19
95,k210,45,68.92318457,3,Ceftamin,Male,15,28
96,k382,45,73.715619,4,Ketapril,Male,22,29
97,k403,45,22.05012627,1,Ramicane,Male,21,16
98,k483,45,66.19691151,3,Infubinol,Female,20,30
99,k510,20,52.10557382,1,Stelasyn,Female,8,27
100,k603,20,50.18010935,0,Propriva,Male,2,27
101,k754,20,52.69342276,1,Zoniferol,Female,8,26
102,k804,35,62.11727887,2,Infubinol,Female,23,29
103,k862,45,69.29914907,4,Stelasyn,Female,13,25
104,k894,45,60.75270417,4,Zoniferol,Female,13,29
105,l215,10,53.6539696,1,Propriva,Male,10,29
106,l264,10,50.65958094,0,Ketapril,Female,15,30
107,l471,45,67.74866174,1,Ceftamin,Female,7,28
108,l490,30,57.91838132,3,Ceftamin,Male,24,26
109,l509,45,41.48300765,3,Capomulin,Male,17,21
110,l558,10,46.78453491,0,Ceftamin,Female,13,30
111,l661,45,59.85195552,3,Ceftamin,Male,18,26
112,l700,45,63.94664044,1,Naftisol,Female,18,27
113,l725,45,76.66881742,3,Naftisol,Female,8,26
114,l733,45,64.29983003,1,Ceftamin,Female,4,30
115,l872,0,45.0,0,Placebo,Male,19,30
116,l897,45,38.84687569,1,Capomulin,Male,17,19
117,m133,25,54.08243662,2,Naftisol,Female,2,26
118,m269,45,75.12368955,1,Stelasyn,Female,22,28
119,m331,15,52.11008758,1,Zoniferol,Female,19,26
120,m546,45,30.56462509,1,Ramicane,Male,18,16
121,m550,45,69.25350312,4,Ketapril,Male,18,28
122,m601,45,28.43096411,1,Capomulin,Male,22,17
123,m650,45,73.90139912,4,Ketapril,Male,15,27
124,m756,5,47.01036401,1,Infubinol,Male,19,30
125,m957,45,33.32909778,1,Capomulin,Female,3,19
126,n304,45,63.58639514,4,Naftisol,Male,9,26
127,n364,45,31.09533505,1,Ramicane,Male,4,17
128,n482,0,45.0,0,Propriva,Female,4,29
129,n630,5,46.09909969,0,Propriva,Female,15,29
130,n671,30,60.16518046,0,Infubinol,Male,18,25
131,n678,10,49.14570866,1,Propriva,Male,5,29
132,n763,40,58.01114583,4,Placebo,Female,16,25
133,n923,40,66.22960554,3,Ketapril,Male,19,30
134,n967,15,49.82500362,1,Zoniferol,Male,11,27
135,o287,45,59.74190064,4,Ceftamin,Male,2,28
136,o302,30,62.03059364,1,Placebo,Female,2,29
137,o331,45,78.56701362,4,Ketapril,Male,24,30
138,o523,10,47.0810859,1,Propriva,Female,6,25
139,o562,45,72.45542116,2,Propriva,Female,4,25
140,o725,15,50.01507902,1,Naftisol,Male,4,26
141,o795,45,73.05945435,4,Placebo,Female,20,26
142,o809,35,55.62942846,1,Infubinol,Male,3,25
143,o813,5,45.69933088,0,Infubinol,Male,24,28
144,o848,0,45.0,0,Stelasyn,Female,14,27
145,o926,45,62.32796606,4,Zoniferol,Male,15,29
146,o973,40,64.48781246,2,Ketapril,Female,11,29
147,p136,45,63.48869678,2,Zoniferol,Female,5,28
148,p189,45,75.2949359,4,Ketapril,Male,8,28
149,p310,25,55.34183416,2,Propriva,Male,6,26
150,p387,40,69.03887618,1,Stelasyn,Male,3,30
151,p438,45,61.43389223,1,Ceftamin,Female,11,26
152,p981,35,59.13102297,1,Stelasyn,Male,20,29
153,q119,10,51.23660557,0,Ketapril,Male,17,30
154,q132,30,54.65654872,4,Infubinol,Female,1,30
155,q483,40,64.19234114,1,Ceftamin,Male,6,26
156,q511,45,68.61106075,3,Zoniferol,Female,2,28
157,q582,35,53.71315792,2,Placebo,Male,5,30
158,q597,45,45.22086888,2,Ramicane,Male,20,25
159,q610,35,36.56165229,2,Ramicane,Female,18,21
160,q633,45,70.82779631,2,Zoniferol,Male,12,25
161,q787,45,66.09647477,3,Placebo,Male,17,27
162,r107,30,58.40647256,1,Propriva,Female,2,28
163,r157,15,46.53920617,0,Capomulin,Male,22,25
164,r554,45,32.37735684,3,Capomulin,Female,8,17
165,r604,45,62.67075904,3,Naftisol,Male,7,30
166,r701,45,69.77854407,1,Naftisol,Male,21,25
167,r811,45,37.22565033,1,Ramicane,Male,9,19
168,r850,15,50.21860469,1,Placebo,Male,5,30
169,r921,30,43.41938077,1,Ramicane,Female,5,25
170,r944,45,41.58152074,2,Capomulin,Male,12,25
171,s121,25,55.65068132,2,Infubinol,Male,23,26
172,s141,30,55.84141007,1,Propriva,Male,8,25
173,s152,25,64.11914213,2,Placebo,Female,4,30
174,s166,10,49.00012468,0,Placebo,Male,19,27
175,s185,45,23.34359787,1,Capomulin,Female,3,17
176,s187,30,60.00878263,2,Propriva,Male,22,25
177,s337,45,62.10965102,4,Zoniferol,Male,14,27
178,s508,45,30.27623175,0,Ramicane,Male,1,17
179,s565,45,72.58896447,2,Stelasyn,Female,3,29
180,s619,5,46.60226878,0,Stelasyn,Male,22,30
181,s710,45,40.72857787,1,Capomulin,Female,1,23
182,t198,45,64.91136268,4,Propriva,Male,22,26
183,t451,45,68.7116302,1,Stelasyn,Male,8,29
184,t565,45,34.45529799,0,Capomulin,Female,20,17
185,t573,0,45.0,0,Ceftamin,Female,15,27
186,t718,45,63.42369517,4,Placebo,Female,10,30
187,t724,45,75.11328801,2,Naftisol,Female,2,25
188,t994,20,56.52795159,1,Placebo,Male,14,30
189,u149,25,52.92534846,0,Ceftamin,Male,24,29
190,u153,0,45.0,0,Ceftamin,Female,11,25
191,u196,45,40.66771292,3,Ramicane,Male,18,25
192,u327,45,66.26880133,2,Ketapril,Male,17,25
193,u364,45,31.02392294,3,Capomulin,Male,18,17
194,u946,20,49.11004966,1,Propriva,Male,5,30
195,v199,0,45.0,0,Naftisol,Female,17,29
196,v289,25,56.72009545,0,Ketapril,Female,3,26
197,v295,40,65.46607444,3,Naftisol,Female,2,27
198,v339,5,46.25011212,0,Infubinol,Male,20,26
199,v409,10,50.64903842,1,Placebo,Female,16,25
200,v603,35,63.18943184,1,Ketapril,Female,22,30
201,v719,20,54.04860769,1,Infubinol,Female,17,30
202,v764,15,49.41262418,2,Stelasyn,Female,5,30
203,v766,15,51.54243058,1,Infubinol,Male,16,27
204,v835,20,51.29654266,2,Naftisol,Male,7,29
205,v923,45,40.65812366,2,Capomulin,Female,19,21
206,v989,10,52.61468889,1,Placebo,Male,4,25
207,v991,45,70.16774899,4,Propriva,Female,10,30
208,w140,5,47.71795156,0,Zoniferol,Female,19,30
209,w150,10,39.95234669,0,Capomulin,Male,23,23
210,w151,45,67.52748237,3,Ceftamin,Male,24,25
211,w167,35,68.13428817,0,Placebo,Female,6,28
212,w193,20,50.00513807,0,Infubinol,Male,22,30
213,w350,45,64.95756185,2,Propriva,Male,7,26
214,w422,45,67.98953001,4,Ketapril,Female,18,26
215,w540,25,52.60026955,2,Stelasyn,Female,8,26
216,w575,45,68.40128593,3,Zoniferol,Female,16,28
217,w584,30,58.26844248,1,Infubinol,Male,3,29
218,w678,5,43.16637266,0,Ramicane,Female,5,24
219,w697,35,63.68904216,3,Stelasyn,Female,14,30
220,w746,5,49.45327005,0,Propriva,Male,1,26
221,w914,45,36.04104736,2,Capomulin,Male,24,21
222,x111,10,49.12296898,1,Propriva,Female,24,27
223,x209,10,48.92989543,0,Propriva,Female,7,29
224,x226,0,45.0,0,Ceftamin,Male,23,28
225,x264,40,63.28328821,4,Naftisol,Female,21,27
226,x336,0,45.0,0,Naftisol,Female,4,29
227,x401,45,28.48403281,0,Capomulin,Female,16,15
228,x402,45,61.61960615,3,Stelasyn,Male,21,28
229,x581,45,64.63494887,3,Ceftamin,Female,19,28
230,x613,15,48.0776464,0,Zoniferol,Female,2,29
231,x773,45,58.63497149,4,Placebo,Female,21,30
232,x822,45,61.38666032,3,Ceftamin,Male,3,29
233,x930,25,53.7261013,0,Naftisol,Male,13,26
234,y163,45,67.68556862,3,Infubinol,Female,17,27
235,y260,45,62.90944062,4,Ketapril,Female,7,25
236,y449,15,44.18345092,0,Ramicane,Male,19,24
237,y478,45,66.84263453,1,Placebo,Female,3,25
238,y601,5,48.47500273,1,Naftisol,Female,23,25
239,y769,45,68.59474498,4,Ceftamin,Female,6,27
240,y793,45,31.8962384,2,Capomulin,Male,17,17
241,y865,45,64.72983655,3,Ceftamin,Male,23,26
242,z234,5,46.12935706,1,Naftisol,Female,19,27
243,z314,5,45.93471217,0,Stelasyn,Female,21,28
244,z435,10,48.71066147,0,Propriva,Female,12,26
245,z578,45,30.63869575,0,Ramicane,Male,11,16
246,z581,45,62.75445141,3,Infubinol,Female,24,25
247,z795,45,65.74107029,3,Naftisol,Female,13,29
248,z969,45,73.86784476,4,Naftisol,Male,9,30
